ticker,expiration,days_to_expiry,T,num_calls,num_puts
BAC,2026-02-27,31,0.08493150684931507,25,18
JPM,2026-02-27,31,0.08493150684931507,24,24
WFC,2026-02-27,31,0.08493150684931507,27,21
MRK,2026-02-27,31,0.08493150684931507,24,18
PFE,2026-02-27,31,0.08493150684931507,20,14
UNH,2026-02-27,31,0.08493150684931507,36,33
AAPL,2026-02-27,31,0.08493150684931507,39,29
MSFT,2026-02-27,31,0.08493150684931507,60,49
NVDA,2026-02-27,31,0.08493150684931507,53,39
